Warning : [07.10.2021 11:43:57] : "No serial port was selected!"
Warning : [07.10.2021 11:43:58] : "No serial port was selected!"
Warning : [07.10.2021 11:43:59] : "No serial port was selected!"
Warning : [07.10.2021 11:43:59] : "No serial port was selected!"
Warning : [07.10.2021 11:44:00] : "No serial port was selected!"
Warning : [07.10.2021 11:44:00] : "No serial port was selected!"
Warning : [07.10.2021 11:44:01] : "No serial port was selected!"
Warning : [07.10.2021 11:44:02] : "No serial port was selected!"
Warning : [07.10.2021 11:44:02] : "No serial port was selected!"
Warning : [07.10.2021 11:44:02] : "No serial port was selected!"
Warning : [07.10.2021 11:44:17] : "Serial connection lost!"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:23] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:24] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:24] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
Error : [07.10.2021 11:44:24] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/Camera"
Error : [07.10.2021 11:44:24] : "ProtocolError: HTTP/1.1 407 Proxy Authentication Required - URL: http://192.168.2.10:5000/api/FaceCount"
